Cod. Pais de destino;Cod. Cuidad de origen;Cantidad;Valor de Dolares;Valor en pesos
ABW;BOG;50,00;1406,00;5529221,54
ABW;BOG;90,00;2270,52;8952728,46
ABW;BOG;54,00;1218,20;4803399,14
ABW;BOG;159,00;4085,41;16108894,18
ABW;BOG;58,00;1748,53;6894506,23
ABW;BOG;337,00;9732,30;38374750,86
ABW;BOG;148,00;2788,33;10994468,83
ABW;BOG;36,00;500,40;1973092,21
ABW;BOG;36,00;629,40;2481743,08
ABW;BOG;2325,00;744,00;2925846,96
ABW;BOG;1296,00;568,90;2237250,45
ABW;BOG;5380,00;2389,20;9553240,09
ABW;BOG;2018,00;597,29;2388270,03
ABW;BOG;1345,00;447,97;1791212,52
ABW;BOG;336,00;119,46;477662,00
ABW;BOG;8743,00;2257,80;9027835,83
ABW;BOG;108,00;358,38;1432986,00
ABW;BOG;0,01;35,00;139410,25
ABW;BOG;32,40;358,40;1369822,72
ABW;BOG;13,20;93,00;355450,65
ABW;BOG;680,00;190,20;749964,30
ABW;BOG;1040,00;272,80;1075658,58
ABW;BOG;710,00;213,00;839865,39
ABW;BOG;360,00;72,00;283898,16
ABW;BOG;370,00;358,25;1412590,49
ABW;BOG;1718,00;1215,67;4793423,26
ABW;BOG;198,00;2402,98;9475022,22
ABW;BOG;40,00;81,66;322437,77
ABW;BOG;35,00;79,07;312211,05
ABW;BOG;84,00;182,87;722069,50
ABW;BOG;90,00;183,49;714356,74
ABW;BOG;70,00;157,95;615471,33
ABW;BOG;204,00;443,66;1732284,50
ABW;BOG;187,50;717,00;2860507,35
ABW;BOG;3,00;31,98;127585,80
ABW;BOG;78,90;416,30;1660849,66
ABW;BOG;10,00;53,80;214637,79
ABW;BOG;1570,95;7530,02;30041391,26
ABW;BOG;30,00;61,44;245199,66
ABW;BOG;30,00;67,99;271339,93
ABW;BOG;84,00;183,47;732206,75
ABW;BOG;447,30;345412,75;1356311289,55
BIH;BOG;1600,00;272,00;1087975,52
BIH;BOG;32960,00;9098,00;36378443,98
BIH;BOG;9900,00;1188,00;4750229,88
AGO;BOG;1,00;1608,27;6404935,27
AGO;BOG;40,00;1474,00;5893803,74
AIA;BOG;1,80;1481,21;5734430,45
ATG;BOG;6,00;657,48;2601490,56
ATG;BOG;10,00;1791,32;7087823,32
ATG;BOG;259,00;17824,80;70528455,64
ATG;BOG;396,00;10396,44;41136217,93
ATG;BOG;12,00;1322,60;5233210,77
ATG;BOG;12,00;1308,84;5178765,75
ATG;BOG;210,00;3872,70;15323344,45
ATG;BOG;276,00;9199,20;36399026,59
SAU;BOG;11,00;3044,00;12044377,44
SAU;BOG;2,00;736,00;2912175,36
SAU;BOG;7,00;2372,00;9385434,72
SAU;BOG;3,00;744,00;2943829,44
SAU;BOG;3,00;588,00;2326574,88
SAU;BOG;210,00;21,00;82224,03
SAU;BOG;5500,00;859,98;3367191,49
SAU;BOG;30001,00;24099,07;95375674,96
SAU;BOG;60,00;6,00;23492,58
SAU;BOG;319,00;2526,00;9920735,52
SAU;BOG;2088,00;1421,28;5684309,87
SAU;BOG;70,00;7,00;27408,01
SAU;BOG;23307,00;18140,27;72069743,83
SAU;BOG;2205,00;1377,10;5392645,39
SAU;BOG;4,00;11207,66;44192139,60
SAU;BOG;4,00;2248,48;8865824,09
SAU;BOG;53,20;68634,00;271507867,92
SAU;BOG;3,00;11274,25;43090747,21
SAU;BOG;1,00;50,00;199925,50
SAU;BOG;3750,00;1395,00;5579874,45
SAU;BOG;800,00;152,00;607986,32
SAU;BOG;1560,00;1474,50;5897867,29
SAU;BOG;500,00;150,00;599986,50
SAU;BOG;109,00;1630,00;6519853,30
SAU;BOG;2846,00;10472,13;41705257,72
SAU;BOG;3960,00;18596,16;71075453,32
SAU;BOG;180,00;2466,00;9862594,38
SAU;BOG;1,00;4878,20;19427431,50
SAU;BOG;6,00;13693,04;55391359,26
SAU;BOG;44004,00;220790,07;863959005,72
SAU;BOG;12960,00;32373,80;128949701,47
SAU;BOG;238,00;1077,73;4180294,53
SAU;BOG;164,00;876,80;3400892,57
SAU;BOG;328,00;715,92;2770826,65
SAU;BOG;137,50;373,05;1447143,29
SAU;BOG;180,00;999,75;3879997,22
SAU;BOG;397,60;1592,05;6176459,61
SAU;BOG;44,00;146,74;560847,61
SAU;BOG;4288,00;17671,50;70501332,82
SAU;BOG;1576,80;22374,00;87647637,18
SAU;BOG;1276,00;3411,85;13208806,68
SAU;BOG;258,00;3411,84;13208767,96
SAU;BOG;134,00;3411,84;13208767,96
SAU;BOG;1,00;6000,00;23937300,00
SAU;BOG;111,00;3411,84;13208767,96
SAU;BOG;600,00;156,00;613484,04
SAU;BOG;3,00;288,00;1127643,84
SAU;BOG;5,00;1160,00;4541898,80
SAU;BOG;3,00;336,00;1315584,48
SAU;BOG;6,00;963,00;3770559,09
SAU;BOG;6,00;612,00;2396243,16
SAU;BOG;4,00;928,00;3633519,04
SAU;BOG;3797,00;8479,52;33200966,99
ARG;BOG;21710,00;7234,60;28934276,27
ARG;BOG;184,00;368,00;1471451,68
ARG;BOG;20971,00;3054,00;12211449,54
ARG;BOG;3800,00;1000,00;4023210,00
ARG;BOG;1,43;104,70;411742,17
ARG;BOG;1,43;104,70;411742,17
ARG;BOG;1,43;104,70;411742,17
ARG;BOG;1,43;104,70;411742,17
ARG;BOG;1,42;104,70;411742,17
ARG;BOG;1,43;104,70;411742,17
ARG;BOG;1,43;104,70;411742,17
ARG;BOG;2,00;3968,94;15806303,55
ARG;BOG;7000,00;91000,00;363948130,00
ARG;BOG;75,00;2237,80;8927814,99
ARG;BOG;1043,00;23072,10;89322481,54
ARG;BOG;2,00;15265,58;60388802,61
ARG;BOG;600,00;48993,29;189675072,57
ARG;BOG;400,00;92,00;367862,92
ARG;BOG;900,00;54,00;215919,54
ARG;BOG;622,60;5700,00;23057754,00
ARG;BOG;8,90;88,57;358285,13
ARG;BOG;1,00;2486,52;9761505,62
ARG;BOG;9,30;3544,76;13940087,72
ARG;BOG;9,30;2050,79;8064916,24
ARG;BOG;591,00;489,72;1930980,65
ARG;BOG;1,00;4,35;17077,09
ARG;BOG;1,00;146,02;576565,81
ARG;BOG;1,00;596,58;2355619,99
ARG;BOG;8,00;206,40;810278,92
ARG;BOG;3,00;1572,42;6208763,26
ARG;BOG;7,00;1583,81;6253737,13
ARG;BOG;4,00;598,36;2349023,73
ARG;BOG;3,00;963,45;3729948,50
ARG;BOG;1,00;11541,00;45962032,50
ARG;BOG;237,00;923,06;3692156,92
ARG;BOG;2154,79;1844781,48;7224103382,05
AUS;BOG;137680,00;23241,53;91240901,22
AUS;BOG;11680,00;3270,40;13039787,26
AUS;BOG;5200,00;728,00;2857960,56
AUS;BOG;9450,00;5202,00;20594988,54
AUS;BOG;3965,00;2656,70;10580307,75
AUS;BOG;3,00;799,20;3054582,36
AUS;BOG;440,00;79,18;310842,46
AUS;BOG;1800,00;378,00;1483941,06
AUS;BOG;126304,00;8484,10;33793442,91
AUS;BOG;12100,00;4114,00;16551485,94
AUS;BOG;577600,00;107498,60;430157783,16
AUS;BOG;4858,00;6430,68;25438998,39
AUS;BOG;65120,00;11695,20;45992426,56
AUS;BOG;4020,00;723,60;2862474,76
AUS;BOG;300,00;93,50;378228,07
AUS;BOG;632,00;12953,84;52401132,64
AUS;BOG;1,00;101,90;412207,91
AUS;BOG;445,00;6245,69;25265190,10
AUS;BOG;1,00;1461,43;5843542,46
AUS;BOG;5320,00;957,60;3814264,44
AUS;BOG;12,00;750,00;2993160,00
AUS;BOG;800,00;144,00;566292,96
AUS;BOG;31100,00;5586,00;21967447,74
AUS;BOG;56150,00;14827,00;59058165,04
AUS;BOG;340000,00;69560,00;277067914,00
AUS;BOG;5,00;5,00;19992,55
AUS;BOG;270,00;378,00;1511436,78
AUS;BOG;46,00;19,00;75971,69
